Was O
man O
daselbst O
vernimmt O
Die O
Trauung O
sollte O
eben O
vollzogen O
werden O
, O
als O
man O
dem O
Prinzen APP
meldete O
: O
Die O
Alte APP
, O
die O
er O
so O
mißhandelt O
habe O
, O
erbäte O
sich's O
zur O
Gnade O
und O
als O
Vergütung O
des O
ihr O
zugefügten O
Schadens O
, O
in O
den O
Tempel O
zu O
kommen O
und O
der O
Zeremonie O
beiwohnen O
zu O
dürfen O
. O
Er O
erlaubte O
dies O
um O
so O
eher O
, O
da O
er O
willens O
war O
, O
sich O
wegen O
des O
Vorgefallenen O
bei O
ihr O
zu O
entschuldigen O
. O
Nachdem O
Saugrenutio PER
dem O
Großen O
Affen O
sehr O
andächtig O
ein O
Rauchopfer O
gebracht O
hatte O
, O
fing O
er O
an O
, O
einen O
Lobpsalm O
anzustimmen O
und O
öffnete O
, O
ohne O
daran O
zu O
denken O
, O
den O
Mund O
so O
weit O
, O
daß O
Tanzai PER
, O
der O
noch O
immer O
mit O
seinem O
Auftrage O
beschäftigt O
war O
, O
glaubte O
, O
er O
könne O
nie O
eine O
schönere O
Gelegenheit O
finden O
, O
ihm O
den O
Schaumlöffel O
hinunterzustoßen O
. O
Auch O
würde O
es O
ihm O
bei O
dem O
Enthusiasmus O
, O
worin O
sich O
der O
Oberpriester APP
befand O
, O
gelungen O
sein O
, O
hätte O
nicht O
die O
Alte APP
in O
dem O
Augenblick O
, O
da O
der O
Stiel O
fast O
auf O
seinen O
Lippen O
war O
, O
so O
heftig O
zu O
niesen O
angefangen O
, O
daß O
Saugrenutio PER
aus O
seiner O
Ekstase O
zu O
sich O
kam O
und O
den O
üblen O
Streich O
gewahr O
ward O
, O
den O
ihm O
der O
Prinz APP
spielen O
wollte O
. O
Um O
ein O
Haar O
hätte O
er O
die O
Zeremonie O
abgebrochen O
und O
die O
Versammlung O
auseinander O
gehen O
lassen O
. O
Doch O
glaubte O
er O
, O
der O
Prinz APP
sei O
dadurch O
genug O
gestraft O
, O
seine O
Absicht O
gescheitert O
zu O
sehen O
, O
und O
so O
entschloß O
er O
sich O
, O
die O
Trauung O
zu O
beenden O
. O
Er O
sprach O
mithin O
die O
heiligen O
Worte O
laut O
und O
ohne O
scheinbare O
Verwandlung O
des O
Gesichts O
aus O
. O
Die O
Alte APP
hatte O
während O
der O
Zeit O
mit O
leiser O
Stimme O
einige O
barbarische O
Worte O
vorgebracht O
. O
Kaum O
hatte O
Saugrenutio PER
die O
Trauformel O
nachgesprochen O
, O
als O
jene O
sich O
behende O
in O
die O
Luft O
schwang O
und O
dem O
Prinzen APP
sowohl O
als O
Neadarne PER
ins O
Gesicht O
spie O
: O
Erinnre O
dich O
auf O
immer O
deines O
Schaumlöffels O
, O
und O
winsle O
beständig O
über O
die O
Rache O
der O
Fee PER
Kukumer PER
! O
– O
Mit O
diesen O
Worten O
verlor O
sie O
sich O
aus O
den O
Augen O
der O
Zuschauer APP
. O
Alle O
erschraken O
ob O
diesem O
Wunder O
. O
Neadarne PER
war O
einer O
Ohnmacht O
nahe O
. O
Tanzai PER
, O
als O
ein O
ziemlich O
schlechter O
Naturkundiger APP
, O
behauptete O
, O
daß O
die O
Alte APP
durch O
Künste O
verschwunden O
sei O
, O
die O
gar O
nicht O
übernatürlich O
wären O
; O
und O
was O
sie O
von O
ihrer O
Rache O
gesagt O
habe O
, O
darüber O
brauche O
man O
nicht O
zu O
erschrecken O
, O
weil O
weder O
die O
Prinzessin APP
noch O
er O
Merkmale O
davon O
verspürten O
. O
Man O
stellte O
sich O
, O
als O
wäre O
man O
davon O
überzeugt O
; O
allein O
der O
König APP
selbst O
war O
höchst O
betroffen O
, O
weniger O
über O
die O
Drohungen O
der O
Fee APP
als O
darüber O
, O
daß O
der O
